µÿ√Ê’æ±Í ∂,Œ¿–«±Í ∂,ø™ ºΩ®¡¥ ±º‰,Ω· ¯Ω®¡¥ ±º‰,ø™ º∏˙◊Ÿ ±º‰,Ω· ¯∏˙◊Ÿ ±º‰, «∑Ò¿°µÁ,◊Ó¥Û—ˆΩ«,»ŒŒÒ÷¥––»’∆⁄,»¶¥Œ,…˝ΩµπÏ±Í ∂,”≈œ»º∂
'abuja-2',Œ¿–«-1',168839,169891,168819,169911,' «','*',2,'*','*',
'abuja-2',Œ¿–«-1',205144,206222,205124,206242,' «','*',3,'*','*',
'abuja-2',Œ¿–«-1',211675,212765,211655,212785,' «','*',3,'*','*',
'abuja-2',Œ¿–«-1',247331,248373,247311,248393,' «','*',3,'*','*',
'abuja-2',Œ¿–«-1',253834,254951,253814,254971,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',29118,30116,29098,30136,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',35540,36720,35520,36740,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',42380,43155,42360,43175,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',70222,71205,70202,71225,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',76721,77902,76701,77922,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',83383,84196,83363,84216,' «','*',1,'*','*',
'algier-1',Œ¿–«-1',114203,115110,114183,115130,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',120558,121743,120538,121763,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',127313,128217,127293,128237,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',155274,156156,155254,156176,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',161741,162927,161721,162947,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',168369,169295,168349,169315,' «','*',2,'*','*',
'algier-1',Œ¿–«-1',199307,200094,199287,200114,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',205585,206763,205565,206783,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',212268,213267,212248,213287,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',240340,241084,240320,241104,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',246765,247943,246745,247963,' «','*',3,'*','*',
'algier-1',Œ¿–«-1',253365,254377,253345,254397,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',29120,30118,29100,30138,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',35542,36722,35522,36742,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',42381,43157,42361,43177,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',70220,71204,70200,71224,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',76719,77900,76699,77920,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',83380,84195,83360,84215,' «','*',1,'*','*',
'algier-2',Œ¿–«-1',114205,115113,114185,115133,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',120560,121745,120540,121765,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',127315,128220,127295,128240,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',155272,156155,155252,156175,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',161740,162925,161720,162945,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',168366,169294,168346,169314,' «','*',2,'*','*',
'algier-2',Œ¿–«-1',199308,200096,199288,200116,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',205586,206765,205566,206785,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',212269,213270,212249,213290,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',240337,241083,240317,241103,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',246763,247941,246743,247961,' «','*',3,'*','*',
'algier-2',Œ¿–«-1',253363,254376,253343,254396,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',3910,4728,3890,4748,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',10696,11580,10676,11600,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',17344,18431,17324,18451,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',23934,25124,23914,25144,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',30503,31631,30483,31651,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',37062,37950,37042,37970,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',43613,44091,43593,44111,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',50056,50225,50036,50245,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',56134,56746,56114,56766,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',62323,63300,62303,63320,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',68697,69861,68677,69881,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',75259,76435,75239,76455,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',82004,83036,81984,83056,' «','*',1,'*','*',
'anchor-1',Œ¿–«-1',88879,89715,88859,89735,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',95692,96547,95672,96567,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',102356,103413,102336,103433,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',108952,110136,108932,110156,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',115523,116673,115503,116693,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',122083,123022,122063,123042,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',128636,129190,128616,129210,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',135132,135281,135112,135301,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',141229,141768,141209,141788,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',147392,148321,147372,148341,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',153735,154881,153715,154901,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',160266,161452,160246,161472,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',166983,168047,166963,168067,' «','*',2,'*','*',
'anchor-1',Œ¿–«-1',173847,174707,173827,174727,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',180683,181515,180663,181535,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',187366,188391,187346,188411,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',193969,195142,193949,195162,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',200543,201710,200523,201730,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',207104,208090,207084,208110,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',213659,214285,213639,214305,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',220183,220362,220163,220382,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',226328,226791,226308,226811,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',232465,233342,232445,233362,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',238778,239901,238758,239921,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',245279,246470,245259,246490,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',251966,253059,251946,253079,' «','*',3,'*','*',
'anchor-1',Œ¿–«-1',258814,259200,258794,259220,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',3912,4725,3892,4745,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',10698,11579,10678,11599,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',17346,18432,17326,18452,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',23936,25126,23916,25146,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',30505,31633,30485,31653,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',37065,37950,37045,37970,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',43618,44088,43598,44108,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',50070,50211,50050,50231,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',56135,56742,56115,56762,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',62322,63298,62302,63318,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',68695,69859,68675,69879,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',75257,76433,75237,76453,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',82004,83034,81984,83054,' «','*',1,'*','*',
'anchor-2',Œ¿–«-1',88881,89713,88861,89733,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',95694,96546,95674,96566,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',102358,103414,102338,103434,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',108953,110137,108933,110157,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',115525,116675,115505,116695,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',122086,123023,122066,123043,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',128640,129187,128620,129207,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',135148,135265,135128,135285,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',141232,141764,141212,141784,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',147391,148319,147371,148339,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',153733,154879,153713,154899,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',160264,161450,160244,161470,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',166982,168045,166962,168065,' «','*',2,'*','*',
'anchor-2',Œ¿–«-1',173848,174705,173828,174725,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',180685,181513,180665,181533,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',187368,188392,187348,188412,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',193970,195144,193950,195164,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',200544,201712,200524,201732,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',207107,208091,207087,208111,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',213662,214283,213642,214303,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',220197,220349,220177,220369,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',226331,226787,226311,226807,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',232465,233340,232445,233360,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',238776,239899,238756,239919,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',245277,246468,245257,246488,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',251965,253057,251945,253077,' «','*',3,'*','*',
'anchor-2',Œ¿–«-1',258815,259200,258795,259220,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',2973,4043,2953,4063,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',9455,10623,9435,10643,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',16345,17058,16325,17078,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',43968,45037,43948,45057,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',50501,51669,50481,51689,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',57174,57916,57154,57936,' «','*',1,'*','*',
'beijing-1',Œ¿–«-1',88042,89048,88022,89068,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',94465,95648,94445,95668,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',101269,102120,101249,102140,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',129006,130008,128986,130028,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',135519,136702,135499,136722,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',142158,143024,142138,143044,' «','*',2,'*','*',
'beijing-1',Œ¿–«-1',173123,174046,173103,174066,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',179484,180670,179464,180690,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',186215,187170,186195,187190,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',214051,214964,214031,214984,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',220539,221726,220519,221746,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',227152,228114,227132,228134,' «','*',3,'*','*',
'beijing-1',Œ¿–«-1',258221,259037,258201,259057,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',2971,4041,2951,4061,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',9453,10622,9433,10642,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',16345,17055,16325,17075,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',43971,45039,43951,45059,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',50503,51671,50483,51691,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',57177,57917,57157,57937,' «','*',1,'*','*',
'beijing-2',Œ¿–«-1',88040,89045,88020,89065,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',94463,95646,94443,95666,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',101268,102118,101248,102138,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',129009,130009,128989,130029,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',135521,136704,135501,136724,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',142160,143026,142140,143046,' «','*',2,'*','*',
'beijing-2',Œ¿–«-1',173122,174044,173102,174064,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',179482,180668,179462,180688,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',186213,187167,186193,187187,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',214053,214965,214033,214985,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',220541,221728,220521,221748,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',227154,228116,227134,228136,' «','*',3,'*','*',
'beijing-2',Œ¿–«-1',258220,259034,258200,259054,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',4668,5823,4648,5843,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',11236,12346,11216,12366,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',17991,18429,17971,18449,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',42656,43142,42636,43162,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',48763,49881,48743,49901,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',55297,56447,55277,56467,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',62247,62872,62227,62892,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',83326,83767,83306,83787,' «','*',1,'*','*',
'boston-1',Œ¿–«-1',89696,90817,89676,90837,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',96249,97396,96229,97416,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',102940,103587,102920,103607,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',133820,134891,133800,134911,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',140299,141473,140279,141493,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',147156,147939,147136,147959,' «','*',2,'*','*',
'boston-1',Œ¿–«-1',174727,175802,174707,175822,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',181265,182436,181245,182456,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',187917,188709,187897,188729,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',218888,219898,218868,219918,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',225311,226496,225291,226516,' «','*',3,'*','*',
'boston-1',Œ¿–«-1',232092,232990,232072,233010,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',4670,5825,4650,5845,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',11238,12348,11218,12368,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',17995,18428,17975,18448,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',42657,43139,42637,43159,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',48762,49879,48742,49899,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',55295,56445,55275,56465,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',62247,62869,62227,62889,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',83331,83765,83311,83785,' «','*',1,'*','*',
'boston-2',Œ¿–«-1',89698,90819,89678,90839,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',96251,97397,96231,97417,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',102943,103588,102923,103608,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',133819,134890,133799,134910,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',140298,141471,140278,141491,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',147156,147936,147136,147956,' «','*',2,'*','*',
'boston-2',Œ¿–«-1',174729,175803,174709,175823,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',181267,182438,181247,182458,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',187920,188710,187900,188730,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',218886,219896,218866,219916,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',225309,226494,225289,226514,' «','*',3,'*','*',
'boston-2',Œ¿–«-1',232091,232987,232071,233007,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',0,309,-20,329,' «','*',1,'*','*',
'brasil-1',Œ¿–«-1',5757,6879,5737,6899,' «','*',1,'*','*',
'brasil-1',Œ¿–«-1',41203,42214,41183,42234,' «','*',1,'*','*',
'brasil-1',Œ¿–«-1',47688,48828,47668,48848,' «','*',1,'*','*',
'brasil-1',Œ¿–«-1',84337,85294,84317,85314,' «','*',1,'*','*',
'brasil-1',Œ¿–«-1',90758,91919,90738,91939,' «','*',2,'*','*',
'brasil-1',Œ¿–«-1',126276,127174,126256,127194,' «','*',2,'*','*',
'brasil-1',Œ¿–«-1',132700,133870,132680,133890,' «','*',2,'*','*',
'brasil-1',Œ¿–«-1',139569,139982,139549,140002,' «','*',2,'*','*',
'brasil-1',Œ¿–«-1',169438,170260,169418,170280,' «','*',2,'*','*',
'brasil-1',Œ¿–«-1',175771,176950,175751,176970,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',182653,183223,182633,183243,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',211376,212103,211356,212123,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',217719,218900,217699,218920,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',224459,225168,224439,225188,' «','*',3,'*','*',
'brasil-1',Œ¿–«-1',254577,255194,254557,255214,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',0,307,-20,327,' «','*',1,'*','*',
'brasil-2',Œ¿–«-1',5755,6877,5735,6897,' «','*',1,'*','*',
'brasil-2',Œ¿–«-1',41205,42216,41185,42236,' «','*',1,'*','*',
'brasil-2',Œ¿–«-1',47690,48830,47670,48850,' «','*',1,'*','*',
'brasil-2',Œ¿–«-1',84336,85292,84316,85312,' «','*',1,'*','*',
'brasil-2',Œ¿–«-1',90757,91917,90737,91937,' «','*',2,'*','*',
'brasil-2',Œ¿–«-1',126278,127175,126258,127195,' «','*',2,'*','*',
'brasil-2',Œ¿–«-1',132702,133872,132682,133892,' «','*',2,'*','*',
'brasil-2',Œ¿–«-1',139572,139983,139552,140003,' «','*',2,'*','*',
'brasil-2',Œ¿–«-1',169437,170258,169417,170278,' «','*',2,'*','*',
'brasil-2',Œ¿–«-1',175770,176949,175750,176969,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',182651,183221,182631,183241,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',211378,212104,211358,212124,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',217721,218902,217701,218922,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',224462,225170,224442,225190,' «','*',3,'*','*',
'brasil-2',Œ¿–«-1',254576,255192,254556,255212,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',2381,3325,2361,3345,' «','*',1,'*','*',
'brunei-1',Œ¿–«-1',8807,9962,8787,9982,' «','*',1,'*','*',
'brunei-1',Œ¿–«-1',44749,45626,44729,45646,' «','*',1,'*','*',
'brunei-1',Œ¿–«-1',51146,52314,51126,52334,' «','*',1,'*','*',
'brunei-1',Œ¿–«-1',58158,58335,58138,58355,' «','*',1,'*','*',
'brunei-1',Œ¿–«-1',87484,88279,87464,88299,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',93820,94997,93800,95017,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',100720,101188,100700,101208,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',129866,130555,129846,130575,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',136164,137344,136144,137364,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',142958,143597,142938,143617,' «','*',2,'*','*',
'brunei-1',Œ¿–«-1',172634,173189,172614,173209,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',178843,180022,178823,180042,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',185600,186352,185580,186372,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',215069,215396,215049,215416,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',221192,222365,221172,222385,' «','*',3,'*','*',
'brunei-1',Œ¿–«-1',227885,228728,227865,228748,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',2380,3323,2360,3343,' «','*',1,'*','*',
'brunei-2',Œ¿–«-1',8805,9960,8785,9980,' «','*',1,'*','*',
'brunei-2',Œ¿–«-1',44751,45628,44731,45648,' «','*',1,'*','*',
'brunei-2',Œ¿–«-1',51147,52315,51127,52335,' «','*',1,'*','*',
'brunei-2',Œ¿–«-1',58161,58336,58141,58356,' «','*',1,'*','*',
'brunei-2',Œ¿–«-1',87482,88277,87462,88297,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',93818,94995,93798,95015,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',100718,101186,100698,101206,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',129868,130556,129848,130576,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',136166,137346,136146,137366,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',142960,143598,142940,143618,' «','*',2,'*','*',
'brunei-2',Œ¿–«-1',172632,173186,172612,173206,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',178841,180020,178821,180040,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',185598,186350,185578,186370,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',215072,215398,215052,215418,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',221194,222367,221174,222387,' «','*',3,'*','*',
'brunei-2',Œ¿–«-1',227887,228730,227867,228750,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',22466,23448,22446,23468,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',28886,30060,28866,30080,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',35796,36408,35776,36428,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',63826,64776,63806,64796,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',70299,71476,70279,71496,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',77010,77719,76990,77739,' «','*',1,'*','*',
'cairo-1',Œ¿–«-1',107558,108434,107538,108454,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',113901,115085,113881,115105,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',120698,121505,120678,121525,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',148893,149718,148873,149738,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',155319,156503,155299,156523,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',161976,162838,161956,162858,' «','*',2,'*','*',
'cairo-1',Œ¿–«-1',192673,193403,192653,193423,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',198927,200106,198907,200126,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',205637,206574,205617,206594,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',233986,234626,233966,234646,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',240344,241520,240324,241540,' «','*',3,'*','*',
'cairo-1',Œ¿–«-1',246961,247931,246941,247951,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',22468,23450,22448,23470,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',28888,30062,28868,30082,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',35797,36411,35777,36431,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',63824,64774,63804,64794,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',70297,71475,70277,71495,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',77007,77717,76987,77737,' «','*',1,'*','*',
'cairo-2',Œ¿–«-1',107559,108436,107539,108456,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',113903,115087,113883,115107,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',120700,121508,120680,121528,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',148891,149716,148871,149736,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',155318,156502,155298,156522,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',161974,162836,161954,162856,' «','*',2,'*','*',
'cairo-2',Œ¿–«-1',192674,193405,192654,193425,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',198929,200108,198909,200128,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',205639,206577,205619,206597,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',233983,234625,233963,234645,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',240343,241519,240323,241539,' «','*',3,'*','*',
'cairo-2',Œ¿–«-1',246958,247930,246938,247950,' «','*',3,'*','*',
'canber-1',Œ¿–«-1',1557,2663,1537,2683,' «','*',1,'*','*',
'canber-1',Œ¿–«-1',38839,39934,38819,39954,' «','*',1,'*','*',
'canber-1',Œ¿–«-1',45358,46500,45338,46520,' «','*',1,'*','*',
